motor,diameter_in,length_in,LD_ratio,mass_loaded_lbm,mass_propellant_lbm,mass_burnout_lbm,mass_inert_lbm,inert_fraction,case_material,case_class,stage_type,thrust_bt_avg_lbf,burn_time_s,burn_time_basis,nozzle_exit_dia_in,expansion_ratio_catalog,chamber_pressure_psia_catalog
Orion 32,32.5,119.6,3.68,4908.0,4429.0,449.0,479.0,0.0976,Graphite-epoxy,Composite,Upper,22970.0,53.6,action_to_burnout,22.04,21.8,756.0
Orion 32XL,32.5,179.5,5.523,7756.0,6953.0,745.0,803.0,0.1035,Graphite-epoxy,Composite,Upper,35056.0,52.4,action_to_burnout,15.5,7.99,922.0
Orion 38,38.0,52.6,1.384,1924.0,1698.0,206.0,226.0,0.1175,Graphite-epoxy,Composite,Upper,7352.0,66.8,to_30_psia,20.7,,
Orion 50 (50T),50.2,103.2,2.056,7395.0,6669.0,670.0,726.0,0.0982,Graphite-epoxy,Composite,Upper,25939.0,75.1,to_30_psia,33.9,,
Orion 50 XL (50 XLT),50.2,120.9,2.408,9494.0,8631.0,808.0,863.0,0.0909,Graphite-epoxy,Composite,Upper,35511.0,71.0,to_30_psia,33.9,,
Orion 50S,50.2,350.1,6.974,29529.0,26801.0,2533.0,2728.0,0.0924,Graphite-epoxy,Composite,First,105097.0,74.9,to_30_psia,56.0,,
Orion 50ST,50.2,335.4,6.681,29103.0,26801.0,2165.0,2302.0,0.0791,Graphite-epoxy,Composite,First,103356.0,74.2,action_to_burnout,47.6,,
Orion 50SG,50.2,318.3,6.341,28865.0,26801.0,1930.0,2064.0,0.0715,Graphite-epoxy,Composite,First,99268.0,74.2,action_to_burnout,36.0,,
Orion 50S XL,50.2,404.3,8.054,36153.0,33145.0,2837.0,3008.0,0.0832,Graphite-epoxy,Composite,First,139726.0,69.7,to_30_psia,56.0,,
Orion 50S XLT,50.2,390.8,7.785,35763.0,33145.0,2472.0,2618.0,0.0732,Graphite-epoxy,Composite,First,137192.0,69.0,to_30_psia,47.6,,
Orion 50S XLG,50.2,344.0,6.853,35525.0,33145.0,2237.0,2380.0,0.067,Graphite-epoxy,Composite,First,131200.0,69.0,to_30_psia,36.0,,
CASTOR IVA,40.1,363.4,9.062,25737.0,22286.0,3239.0,3451.0,0.1341,Steel,Steel,First,108190.0,55.2,action_to_burnout,33.6,,
CASTOR IVA-XL,40.1,457.0,11.397,33031.0,28906.0,3653.0,4125.0,0.1249,Steel,Steel,First,140480.0,58.0,action_to_burnout,50.5,,
CASTOR IVB,40.1,353.7,8.82,25441.0,21990.0,3254.0,3451.0,0.1356,Steel,Steel,First,92490.0,63.6,action_to_burnout,37.0,,
CASTOR 30,92.0,144.2,1.567,30590.0,28098.0,2268.0,2492.0,0.0815,Graphite-epoxy (inferred),Composite,Upper,53700.0,149.8,action_to_burnout,49.7,,
CASTOR 30B,92.0,169.9,1.847,30800.0,28405.0,2203.0,2395.0,0.0778,Graphite-epoxy (inferred),Composite,Upper,67370.0,126.7,action_to_burnout,62.4,,
CASTOR 30XL,92.0,235.8,2.563,58217.0,54949.0,3069.0,3268.0,0.0561,Graphite-epoxy (inferred),Composite,Upper,104350.0,155.0,action_to_burnout,78.7,,
CASTOR 120,92.0,355.0,3.859,116993.0,107914.0,9097.0,9079.0,0.0776,Carbon-epoxy,Composite,First,379000.0,79.4,action_to_burnout,59.7,,
CASTOR 120XL,92.1,378.3,4.107,123383.0,114194.0,8850.0,9189.0,0.0745,Carbon-epoxy,Composite,First,381701.0,83.5,action_to_burnout,59.8,,
GEM 40 (Ground Ignited),40.4,435.0,10.767,28577.0,25940.0,2429.0,2637.0,0.0923,Graphite-epoxy,Composite,First,112200.0,63.3,action_to_burnout,32.17,,
GEM 40 (Air Ignited),40.4,449.1,11.116,28883.0,25940.0,2649.0,2943.0,0.1019,Graphite-epoxy,Composite,First,116050.0,63.3,action_to_burnout,38.8,,
GEM 40VN,40.4,425.1,10.522,28886.0,25940.0,2607.0,2946.0,0.102,Graphite-epoxy,Composite,First,107625.0,64.6,action_to_burnout,32.3,,
"GEM 46 (Fixed, Ground-Ignited)",45.1,495.8,10.993,41590.0,37180.0,4050.0,4410.0,0.106,Graphite-epoxy,Composite,First,137300.0,75.9,action_to_burnout,39.93,,
"GEM 46 (Vectorable, Ground-Ignited)",45.1,491.5,10.898,42196.0,37180.0,4656.0,5016.0,0.1189,Graphite-epoxy,Composite,First,135200.0,76.9,action_to_burnout,36.93,,
"GEM 46 (Fixed, Air-Ignited)",45.1,508.6,11.277,42039.0,37180.0,4397.0,4859.0,0.1156,Graphite-epoxy,Composite,First,142300.0,75.9,action_to_burnout,49.25,,
GEM 60 (Vectorable),60.0,518.0,8.633,74185.0,65472.0,8203.0,8713.0,0.1174,Graphite-epoxy,Composite,First,199403.0,90.8,action_to_burnout,43.12,,
GEM 60 (Fixed),60.0,518.0,8.633,73156.0,65472.0,7207.0,7684.0,0.105,Graphite-epoxy,Composite,First,201260.0,90.8,action_to_burnout,43.12,,
GEM 63,63.2,792.2,12.535,108781.0,97195.0,10607.0,11586.0,0.1065,Graphite-epoxy,Composite,First,277589.0,97.6,action_to_burnout,58.8,,
GEM 63XL,63.7,865.3,13.584,116920.0,105497.0,9966.0,11423.0,0.0977,Graphite-epoxy,Composite,First,337871.0,87.3,action_to_burnout,60.3,,
